orgunit_id,parent_id,orgunitname,parent_name,area_type_id
715020101,7150201,AKORET,AKORET,GSLC
715010101,7150101,ANGORITIANG,TIRIOKO,GSLC
715020103,7150201,KAPEDO NORTH,AKORET,GSLC
715010102,7150101,KAPUNYANY,TIRIOKO,GSLC
302010301,3020103,PORT REITZ,PORT REITZ,GSLC
302010101,3020101,CHAANI,CHAANI,GSLC
302010201,3020102,CHANGAMWE,CHANGAMWE,GSLC
302020102,3020201,JOMVU KUU,MIRITINI,GSLC
302020101,3020201,MIRITINI,MIRITINI,GSLC
301030101,3010301,JUNDA,KISAUNI,GSLC
301010101,3010101,BAMBURI,BAMBURI,GSLC
301010102,3010101,MAUNGUJA,BAMBURI,GSLC
301010103,3010101,MWAKIRUNGE,BAMBURI,GSLC
301010104,3010101,MWEMBE LEGEZA,BAMBURI,GSLC
301010105,3010101,SHANZU,BAMBURI,GSLC
301030202,3010302,MAWENI,KONGOWEA,GSLC
302030101,3020301,MTONGWE,MTONGWE,GSLC
302030202,3020302,VIJIWENI,SHIKA ADABU,GSLC
302030201,3020302,VYEMANI,SHIKA ADABU,GSLC
302040101,3020401,BOFU,LIKONI,GSLC
302040102,3020401,LIKONI,LIKONI,GSLC
302040103,3020401,TIMBWANI,LIKONI,GSLC
301020102,3010201,KIZINGO,GANJONI,GSLC
301020401,3010204,MAKADARA,OLD TOWN,GSLC
301020402,3010204,MJI WA KALE,OLD TOWN,GSLC
301020702,3010207,TUDOR,TUDOR,GSLC
301020701,3010207,TUDOR FOUR,TUDOR,GSLC
301020601,3010206,BONDENI,TONONOKA,GSLC
301020602,3010206,TONONOKA,TONONOKA,GSLC
301020101,3010201,GANJONI,GANJONI,GSLC
301020501,3010205,RAILWAY/KINGORANI/HIGH LEVEL,RAILWAY,GSLC
301020201,3010202,MAJENGO,MAJENGO,GSLC
301020301,3010203,MWEMBE TAYARI,MWEMBE TAYARI,GSLC
305010101,3050101,BONGWE,DIANI,GSLC
305010102,3050101,GOMBATO,DIANI,GSLC
305010103,3050101,UKUNDA,DIANI,GSLC
305010201,3050102,GAZI,KINONDO,GSLC
305010202,3050102,KINONDO,KINONDO,GSLC
305030101,3050301,FUNZI,KINGWEDE/SHIRA,GSLC
